Title,First,Middle,Last,Company,Job_Title,Board_Member,Trustee,Street_Address,Unit,City,State,Zip,Contribution_2020,Contribution_2019,Contribution_2018,Contribution_2017,Contribution_2016,string_field_18,int64_field_19
Ms.,Alma,,Abbott,Burbane Electronics,Engineer,TRUE, ,98 Elmwood Drive ,Apt. 3,Green River,WY,82935,55,45,50,38,40,,
,Cecil,V.,Adams,WY Hydroponics,Receptionist,,TRUE,231 Sherwood St.,,Green River,WY,82935,20,70,36,5,10,,
Mr.,Karl,B.,Alexander,MySalon,VP of HR, , ,9988 Evergreen Lane,,Reliance,WY,82901,,,5,,5,,
Dr.,Nellie,E.,Anderson,Nellie & Nan Personal Chefs,Food Scientist, , ,1 Carpenter Drive,,Rock Springs,WY,82901,55,50,40,,,,
Dr.,Roland,G.,Arnold,Arnold Life Coaching,Life Coach,TRUE, ,165 Olive St.,,Rock Springs,WY,82902,25,,,60,,,
Mr.,Arthur,T.,Baker,,, , ,9793 Southampton Court ,Apt. 29,Rock Springs,WY,82901,20,5,75,20,20,,
Mrs.,Elizabeth,L.,Baldwin,Wealthify,Loan Officer, , ,843 Canterbury St.,,Rock Springs,WY,82901,45,,75,,50,,
Mr.,Harry,U.,Ball,Rockstar Lessons,Teacher, , ,7542 Fairground Street,,Rock Springs,WY,82901,44,5,30,5,30,,
Dr.,Tyler,,Barnett,Retired,, , ,358 Mulberry Drive,,Rock Springs,WY,82902,,30,,10,70,,
Mrs.,Marcia,F.,Barrett,,, , ,149 Glenholme Avenue ,#24,Bryan,WY,82935,50,40,35,90,10,,
Mr.,Roderick,V.,Barton,Ship Merchant,Director, ,TRUE,10 Airport Ave.,,Bryan,WY,82935,80,40,60,70,28,,
Mrs.,Naomi,U.,Barton,L.C. Cinema,Cashier, , ,418 Squaw Creek St.,,Rock Springs,WY,82901,52,45,71,20,5,,
Mr.,Arturo,C.,Beck,Puzzle Purveyors,Director,TRUE, ,39 Mayflower Ave.,,Rock Springs,WY,82901,10,5,,50,,,
Mrs.,Nora,F.,Bridges,Self-Employed,Piano Teacher, , ,77 S. Lakewood Avenue,,Green River,WY,82935,80,5,50,80,60,,
Dr.,Taylor,M.,Buchanan,Smile Rock Springs,Speech-Language Pathologist, , ,26 Vale Ave.,,Green River,WY,82935,52,10,38,5,55,,
Ms.,Mona,J.,Burns,,, , ,336 Arcadia Street,,Green River,WY,82935,10,70,55,,10,,
Mrs.,Jessie,L.,Butler,Hyperspot Co.,Reporter,, ,535 Greenrose St.,,Rock Springs,WY,82901,25,75,45,50,85,,
Mr.,Bill,U.,Byrd,DVDguide,Human Resources Director, , ,488 Valley View Rd.,,Rock Springs,WY,82901,35,,50,19,40,,
Mrs.,Susie,N.,Byrd,,, , ,94 Grant Street,,Rock Springs,WY,82901,10,80,60,5,5,,
Mr.,Jack,E.,Campbell,MyPeak Climbing,Receptionist, , ,61 Dogwood Court,,Reliance,WY,82901,,20,40,40,40,,
Dr.,Fannie,,Campbell,Virtual Balance,Executive Vice President, , ,3 Westminster Drive ,Apt. 8,Rock Springs,WY,82901,10,50,40,35,90,,
Mr.,Stella,U.,Carlson,FreshAdventure,Designer, , ,787 Bellevue Dr.,,Reliance,WY,82901,30,,35,,,,
