ID__,Title,First,Middle,Last,Company,Job_Title,Board_Member,Trustee,Street_Address,Unit,City,State,Zip,Contribution_2020,Contribution_2019,Contribution_2018,Contribution_2017,Contribution_2016
1755,Ms.,Alma,,Abbott,Burbane Electronics,Engineer,TRUE, ,98 Elmwood Drive ,Apt. 3,Green River,WY,82935,55,45,50,38,40
1116,,Cecil,V.,Adams,WY Hydroponics,Receptionist,,TRUE,231 Sherwood St.,,Green River,WY,82935,20,70,36,5,10
1400,Mr.,Karl,B.,Alexander,MySalon,VP of HR, , ,9988 Evergreen Lane,,Reliance,WY,82901,,,5,,5
1299,Dr.,Nellie,E.,Anderson,Nellie & Nan Personal Chefs,Food Scientist, , ,1 Carpenter Drive,,Rock Springs,WY,82901,55,50,40,,
1531,Dr.,Roland,G.,Arnold,Arnold Life Coaching,Life Coach,TRUE, ,165 Olive St.,,Rock Springs,WY,82902,25,,,60,
1918,Mr.,Arthur,T.,Baker,,, , ,9793 Southampton Court ,Apt. 29,Rock Springs,WY,82901,20,5,75,20,20
1517,Mrs.,Elizabeth,L.,Baldwin,Wealthify,Loan Officer, , ,843 Canterbury St.,,Rock Springs,WY,82901,45,,75,,50
1322,Mr.,Harry,U.,Ball,Rockstar Lessons,Teacher, , ,7542 Fairground Street,,Rock Springs,WY,82901,44,5,30,5,30
1861,Dr.,Jordan,S.,Ballard,WY Institute,Food Scientist, , ,5 Lancaster Dr.,,Jackson,WY,83002,,,25,10,
1664,Mr.,Marco,R.,Barber,Retired,, , ,9202 S. 8th Circle,,Lonetree,WY,82936,,40,60,40,90
1013,Dr.,Tyler,,Barnett,Retired,, , ,358 Mulberry Drive,,Rock Springs,WY,82902,,30,,10,70
1791,Mrs.,Marcia,F.,Barrett,,, , ,149 Glenholme Avenue ,#24,Bryan,WY,82935,50,40,35,90,10
1269,Mr.,Roderick,V.,Barton,Ship Merchant,Director, ,TRUE,10 Airport Ave.,,Bryan,WY,82935,80,40,60,70,28
1378,Mrs.,Naomi,U.,Barton,L.C. Cinema,Cashier, , ,418 Squaw Creek St.,,Rock Springs,WY,82901,52,45,71,20,5
1881,Mr.,Arturo,C.,Beck,Puzzle Purveyors,Director,TRUE, ,39 Mayflower Ave.,,Rock Springs,WY,82901,10,5,,50,
1102,,Sherman,G.,Becker,Exri,Vice President, , ,364 Jefferson Avenue,,Casper,WY,82605,,,12,,
1382,Mr.,Al,I.,Berry,,, , ,45 W. Summerhouse Court,,La Barge,WY,83123,35,,,,
1221,Mrs.,Nora,F.,Bridges,Self-Employed,Piano Teacher, , ,77 S. Lakewood Avenue,,Green River,WY,82935,80,5,50,80,60
1203,Dr.,Taylor,M.,Buchanan,Smile Rock Springs,Speech-Language Pathologist, , ,26 Vale Ave.,,Green River,WY,82935,52,10,38,5,55
1592,Ms.,Mona,J.,Burns,,, , ,336 Arcadia Street,,Green River,WY,82935,10,70,55,,10
1631,Mrs.,Jessie,L.,Butler,Hyperspot Co.,Reporter,, ,535 Greenrose St.,,Rock Springs,WY,82901,25,75,45,50,85
1153,Mrs.,Susie,N.,Byrd,,, , ,94 Grant Street,,Rock Springs,WY,82901,10,80,60,5,5
1334,Mr.,Bill,U.,Byrd,DVDguide,Human Resources Director, , ,488 Valley View Rd.,,Rock Springs,WY,82901,35,,50,19,40
1705,Mr.,Jack,E.,Campbell,MyPeak Climbing,Receptionist, , ,61 Dogwood Court,,Reliance,WY,82901,,20,40,40,40
1473,Dr.,Fannie,,Campbell,Virtual Balance,Executive Vice President, , ,3 Westminster Drive ,Apt. 8,Rock Springs,WY,82901,10,50,40,35,90
1943,Mr.,Willie,P.,Cannon,My Concierge LLC,Medical Secretary, , ,74 3rd St.,,Casper,WY,82605,200,,45,20,
1563,Mr.,Stella,U.,Carlson,FreshAdventure,Designer, , ,787 Bellevue Dr.,,Reliance,WY,82901,30,,35,,
1343,Ms.,Vera,E.,Carpenter,Carpenter Boating,Customer Service Representative, , ,39 Woodsman Ave.,,Bryan,WY,82935,,50,15,,60
1968,Dr.,Stephen,V.,Carson,,, , ,8123 Cobblestone Ave.,,Rock Springs,WY,82901,,75,,75,80
1346,Mr.,Gilberto,G.,Carson,,, , ,8115 Bank Ave. ,#26,Rock Springs,WY,82901,,,90,,65
1306,Dr.,Sharon,,Carter,Resumewatch,Director, , ,97 Temple Drive,,Superior,WY,82905,55,60,40,8,20
1743,Ms.,Melissa,J.,Castillo,,,TRUE, ,4 Beach Court,Unit A2,Reliance,WY,82901,30,,,35,60
1873,Mr.,Brandon,D.,Chandler,,, , ,808 Hamilton Court,,Superior,WY,82905,,23,16,60,30
1003,Ms.,Amanda,Y.,Chapman,,, , ,76 Manchester Dr.,,Rock Springs,WY,82902,70,20,5,40,72
1078,Mrs.,Lucia,R.,Clayton,Best Taxes,Administrative Assistant, , ,296 West Division Street,,Rock Springs,WY,82901,10,20,,80,
1032,Mrs.,Jackie,L.,Cobb,Bike United,, , ,768 Ketch Harbour Road,,Granger,WY,82934,,45,80,50,40
1165,Mrs.,Danielle,Y.,Cobb,,,, ,703 Brown Court,,Lonetree,WY,82936,50,75,25,25,200
